"id","tweet","spam"
1,"via @pmpg65:  @trafficLARA @PJGZLEZ la locura y el miedo es libre http://t.co/xz31avg8bm #Maracaibo",0
2,"via @SotoKv:  @photojcg al parecer fuegos artificiales ! 12:09am #28J #Maracaibo",0
3,"via @PJGZLEZ: ellos se comen una torta de mas de 2 metros en el cumpleaños de un fantasma ¿y ud comio sin hacer cola?  @trafficlara",0
4,"via @SobrePC:  bomba artificiales en el core 3 o en la primera división, para eso si tienen dinero. #Maracaibo",0
5,"via @econ\\_carlos: Muerto no cumple años la verdad esta gente cada día los veo más loco #Maracaibo",0
6,"via @PJGZLEZ: hoy día de tu cumpleaños chasparin en la catacumbas de la 5ta... la torta q dejaste es mas grande q la del meson  @trafficlara",0
7,"via @pmpg65: @trafficLARA @PJGZLEZ  amarren sus locos http://t.co/Wy5BsPGExI #Maracaibo",0
8,"via @trafficBIBLIA: Ni llaméis 'padre vuestro' a nadie en la tierra, pq uno solo es vuestro Padre: El del cielo. Mat23:9 #biblia  #Maracaibo",0
9,"via @econ\\_carlos: El cumpleaños de un muerto,no hay nada mas pavoso que esto bochornoso por Dios #ChavezPartyNightClub #Maracaibo",0
10,"via @D666MCBO: De quien es día hoy que hay fuegos artificiales #Maracaibo",0
11,"via @PJGZLEZ: avisen que las detonaciones son por el cumpleaños de chasparin,por aqui siempre las hay y no son de celebracion  @trafficlara",0
12,"via @Elbamargarita92:  #AYUDA  pata\\_amigamcbo HOGAR TEMPORAL URGENTE POR FAVOR💔 #Maracaibo
patasalaobravzla… https://t.co/fB79uEfX4E",0
13,"via @photojcg:  que pasa en Palaima ?",0
14,"via @EncaminamosC5: #AlC5Encaminamos #27JL  @trafficVZLA @XavierSerranoJP @Joven\\_Patriota @marianacaribec  http://t.co/007rqU0ptT",0
15,"via @PJGZLEZ: espero que el #6d tengamos una asamblea seria para que se acabe el circo del cumpleaños de chasparin ¡q circo!  @trafficlara",0
16,"via @AlcantaraLino: El Bien tenemos que CREARLO, el mal viene por si Solo. Juan “Lorenzo Mendoza Quintero” @trafficARAGUA  @EmpresasPolar",0
17,"via @PJGZLEZ: el cumpleaños de un muerto ¡gente loca! llevamos 200000 por el hampa que cumplirian años  @trafficlara #ChavezPartyNightClub",0
18,"via @germangzambrano:  ?????!?????? #Maracaibo",0
19,"via @PJGZLEZ: llevan 2 años con el mismo meson en el cuartel y 16 años con la misma torta #ChavezPartyNightClub  @trafficlara #Maracaibo",0
20,"via @PJGZLEZ: papa chaibez cumplez otro año mas alla *-* q los diablitos underwud te soplen la vela =) #ChavezPartyNightClub  @trafficlara",0
21,"via @willyvzla: yo con 500 bs 0.50 comía el desayuno y chuchería en los noventas @LorenaAnez  @Rayner\\_1 @rivadeneira76 #Maracaibo",0
22,"via @Elbamargarita92:  SE NECESITA TRASLADO Y AYUDA PARA BRINDARLE ATENCIÓN VETERINARIA 🙏🐶❤️ DIFUNDE⁰⁰Me… https://t.co/cA0slCltHF #Maracaibo",0
23,"via @homezistas:  @AlexaMaria7 La Verdad oculta de DolarToday,
http://t.co/296V25RViT #Maracaibo",0
24,"via @OleOleini:  @any\\_mag en la farmacia fatima del 18 de octubre av. 5 #Maracaibo",0
25,"via @willyvzla: Comenzando a llover al oeste de #Maracaibo , a rogarle a Dios que no se vaya la luz. #Maracaibo",0
26,"via @AlexaMaria7: El tema de hoy  #Interesante jijiji https://t.co/WTx7ikeu5y #Maracaibo",0
27,"via @karinkinka: Buenas noches me puede decir donde conseguir esta medicina Metotrexato 2.5mg #Maracaibo",0
28,"via @karinkinka:  buenas noches me pueden ayudar en donde puedo conseguir esta medicina Metotrexato 2.5 gracias. #Maracaibo",0
29,"via @JhoandrySantos:  lñ #Maracaibo",0
30,"via @josemaldana:  @trafficLARA @trafficVZLA  https://t.co/5v2Q9JZl8R #Maracaibo",0
31,"via @navedas: @aycaracha @trafficMIRANDA @traffiCARACAS @trafficVALENCIA @trafficMGTA  @trafficVZLA @trafficTACHIRA @trafficMERIDA",0
32,"via @rivadeneira76:  LO QUÉ NO SABIA EL COMPOSITOR ERA QUE \"ACABARON CON LA PLATA Y SE HECHARON A REIR\"..... PERO EN ESTE TIEMPO ....",0
33,"via @navedas: @aycaracha @trafficMIRANDA @traffiCARACAS @trafficVALENCIA  @trafficLARA @trafficVZLA @trafficMGTA @trafficTACHIRA #Maracaibo",0
34,"via @rivadeneira76: http://t.co/CaqHnDKwCI #Maracaibo",0
35,"via @mariaglafira:  @joseboscan126 @marjo\\_p\\_m @medicin sr trate de buscar esa droga con otro marca xque ese laboratorio ya no está.Puede se",0
36,"via @GQuintero: @belkisarellano si se revisa la definición física del trabajo, casi nadie lo ha hecho nunca #Maracaibo",0
37,"via @PatryIsabel69:  @any\\_mag aquí la hay pero de 750. Consulta al medico y llama a la farmacia para confirmar http://t.co/lP5OxEGE0M",0
38,"via @belkisarellano:  Mario Silva dice q Lorenzo Mendoza nunca ha trabajado, q cosa y ellos, acason trabajan por este pais totalmente arrui",0
39,"via @pablitfiro: IMPRESIONANTE: MIRE QUE ACTOR FAMOSO PROTAGONIZARÁ PELÍCULA DE “EL CHAPO” GUZMÁN. http://t.co/GYqVdVYg6g @trafficVARGAS  #",0
40,"via @pablitfiro: #CAOS EN EL HOSPITAL UNIVERSITARIO: Pranes amenazan a trabajadores con PICARLOS. http://t.co/YD3JVgOx0d  #Maracaibo",0
41,"via @pablitfiro: ”TOCARA ECHARSE LA AGUANTAHITA”: Anticonceptivos en Venezuela van vía la extinción. http://t.co/Clf2Y0kdyQ  @trafficVARGAS",0
42,"via @Barbybar8:  @pablitfiro   el conde del guachro q deje quieto al q esta quieto. #Maracaibo",0
43,"via @pablitfiro: ¿SE VA DE Venezuela? POLEMICA TRAS UNOS TUITS DE “ER CONDE DEL GUÁCHARO”A LORENZO MENDOZA http://t.co/196mIustlY …",0
44,"via @MiriamBustaman: Q baratoooooo q baratoooooo   https://t.co/t0jCypF0Qt #Maracaibo",0
45,"via @pablitfiro: POLÉMICA SALEN A LA LUZ CONEXIONES DE “EL CHAPO” CON Venezuela. (+DETALLES) http://t.co/Yvj8ifY9UD   @trafficGUAYANA",0
46,"via @sierrauj:  @jacque\\_07 tengo muchos de estos billetes de colección y si que tiempos aquellos #Maracaibo",0
47,"via @any\\_mag:  Necesito URGENTE Amoxixilina Pediatrica de 250mg, es para un niño de 6 anos con infeccion de oido avanzada! 04246361674",0
48,"via @pablitfiro: IMPRESIONANTE: MIRE QUE ACTOR FAMOSO PROTAGONIZARÁ PELÍCULA DE “EL CHAPO” GUZMÁN. http://t.co/GYqVdVYg6g  #Maracaibo",0
49,"via @pablitfiro: ¿SE VA DE Venezuela? POLEMICA TRAS UNOS TUITS DE “ER CONDE DEL GUÁCHARO”A LORENZO MENDOZA http://t.co/196mIustlY  @traffic",0
50,"via @pablitfiro: ”Las zonas de paz son un disparate”: LA IGLESIA CATOLICA LANZA DURO PRONUNCIAMIENTO. http://t.co/qvQga1Gdtm  @trafficVARGAS",0
51,"via @pablitfiro: #CONFIRMADO : Vea COMO y DONDE capturaron a los asesinos del Sacerdote de Guayana. http://t.co/KDteje5fyS   @trafficMERIDA",0
52,"via @trafficBIBLIA: P.D: Hijo del Bendito quier dcir d \"Yahweh\". Por no prnunciar el nombr d Yahweh, los judíos usaban otr com éste.",0
53,"via @marthamda: Y así pretenden q el campo produzca! Por Dios!   http://t.co/aWLQFvIQYi #Maracaibo",0
54,"via @Gregory\\_25:  y así por el mal estado de un carrito por puesto que tanto abusan y joden a las persona me e cortado... http://t.co/Ej3Rd",0
55,"via @sag93y:  @luisalonzzzo mataron a unos delincuentes de x hay mismo cerca del cdi de los mangos #Maracaibo",0
56,"via @carlospinsanche:  Fue localizado muerto señor Victor sangronis de 58 años en la planta de tratamiento de agua servida de Valmore Rodri",0
57,"via @Nu\\_gon: Bajones  en la Urb. San Rafael hace 15 minutos.. Tomar precauciones #Maracaibo",0
58,"via @keyliemely: Mañana a las 8am reunión en el colegio Nstra Sra Guadalupe para ajuste de matricula todos unidos @Cguadalupe1954 #Maracaibo",0
59,"via @corronchoary1:  @VVenme2014 @Isabelferrerc @josemsanchezr así o mas claro http://t.co/j6PcT5gQuM #Maracaibo",0
60,"via @VictoriaDGuerra: Estudiante @JhosmanParedes se encuentra en grave estado de salud, necesita atención médica urgente

http://t.co/Y1pCZ",0
61,"via @NegociaAqui: Lentes Oakley Holbrook Originales,Usados óptimas Condiciones,35MilBs.Contacto 04247242271 .@trafficVZLA  http://t.co/HN1U",0
62,"via @josemsanchezr:  @Isabelferrerc si es verda esto no lo aguanta nadie #Maracaibo",0
63,"via @jorgenunez7:  fotos de la protesta hoy en el km 18, hora 6pm http://t.co/ykldGVhAin #Maracaibo",0
64,"via @edixoncaridad:  se consigue en la Fcia SAS de la 72 #Maracaibo",0
65,"via @ZarathVenezolan: GRAN CLAMOR X VZLA.AGOSTO15 @trafficVALERA @traffiCARACAS @trafficMERIDA @trafficTACHIRA @trafficLARA  http://t.co/Js",0
66,"via @Isabelferrerc:  @josemsanchezr No se consigue nadaaaa, esto es horrible, desesperante.. Dios tenga compasión de este pueblo! 😔😢",0
67,"via @maricarolp:  @joseboscan126 @marjo\\_p\\_m @medicin en la farmaciaa sas de acuario rn la rotaria fy #Maracaibo",0
68,"via @josemsanchezr:  dios en san francisco un kilo de arroz ya vale 200 bf y lo peor del caso es que no se consigue #Maracaibo",0
69,"via @IngridRod6:  disculpen el medio. Donde puedo comprar el medicamento Micardis de 80 mg #Maracaibo",0
70,"via @jorgenunez7: Protesta de la comunidad los dulces via km18, tienen 8 dias sin luz ni agua, tomando acciones el pueblo  http://t.co/4e2G",0
71,"via @tomillita:  @ndjchacin @yoangni1977 Si hombre! El problema grave en estw país no es la ortografía, que además, no lo tienes! #Maracaibo",0
72,"via @kpricorniana:  @ndjchacin  con 40 mil  sera 3 pantalones jajaaa #Maracaibo",0
73,"via @raisafuenmayor:  @andreslambert10 @ndjchacin ya t contarian tengo que resolverlo #Maracaibo",0
74,"via @verou331: @douher11  @sundde\\_ve ironía de la vida!!! #Maracaibo",0
75,"via @Isabelferrerc:  @larm35 Aba cantv muy lento... #Maracaibo",0
76,"via @luisalonzzzo:  alguien sabe que paso entre bajo seco y los mangos full policías y Cicpc #Maracaibo",0
77,"via @vbrzulia2012:  como se el medicamento #Maracaibo",0
78,"via @joseboscan126: \"@marjo\\_p\\_m:  quien pueda informarme por favor donde puedo conseguir este medicamento  http://t.co/DdXCcZl4IJ\" @Medicin",0
79,"via @LorenaAnez:  @Rayner\\_1 @rivadeneira76 Yo con 15 bs me comia en el colegio un perro caliente y un refresco, nunca olvidaré esos tiempos!",0
80,"via @Mari190170:  en el ambulatorio la Victoria, en la victora #Maracaibo",0
81,"via @raisafuenmayor:  @andreslambert10 @ndjchacin Bueno,si sabeis de pañales de bb me avisais,tengoun problemón #Maracaibo",0
82,"via @LeoIbarra57:  @rivadeneira76 Totalmente de acuerdo, debemos enfrentar al jefe de la manada y no a los mas debiles #Maracaibo",0
83,"via @ndjchacin: @yoangni1977  otro bobo más que cree que tengo problemas de ortografía.. #Maracaibo",0
84,"via @ANGIECA79:  @verou331 @sundde\\_ve #Maracaibo",0
